ID	LENGTH	OVERLAP	ERROR	PVALUE
ERR346600.454	401	101	0.0198	1.1102e-16
ERR346600.457	407	95	0.0105	1.1102e-16
ERR346600.461	398	104	0.1154	1.1102e-16
ERR346600.460	380	122	0.0082	1.1102e-16
ERR346600.459	398	104	0.0000	1.1102e-16
ERR346600.465	392	110	0.0273	1.1102e-16
ERR346600.462	404	98	0.0000	1.1102e-16
ERR346600.464	398	104	0.0865	1.1102e-16
ERR346600.463	398	104	0.0192	1.1102e-16
ERR346600.466	392	110	0.0000	1.1102e-16
ERR346600.468	410	92	0.3152	1.1003e-16
ERR346600.469	401	101	0.0297	1.1102e-16
ERR346600.470	392	110	0.0000	1.1102e-16
ERR346600.467	392	110	0.0182	1.1102e-16
ERR346600.472	389	113	0.0000	1.1102e-16
ERR346600.471	392	110	0.0091	1.1102e-16
ERR346600.473	401	101	0.0099	1.1102e-16
ERR346600.474	401	101	0.1683	1.1102e-16
ERR346600.478	392	110	0.0273	1.1102e-16
ERR346600.477	389	113	0.0177	1.1102e-16
ERR346600.475	386	116	0.0259	1.1102e-16
ERR346600.479	398	104	0.0385	1.1102e-16
ERR346600.481	395	107	0.0000	1.1102e-16
ERR346600.480	392	110	0.0091	1.1102e-16
ERR346600.476	395	107	0.0093	1.1102e-16
ERR346600.484	407	95	0.0105	1.1102e-16
ERR346600.485	383	119	0.0000	1.1102e-16
ERR346600.483	395	107	0.0280	1.1102e-16
ERR346600.482	389	113	0.0000	1.1102e-16
ERR346600.486	402	100	0.6200	2.0731e-03
ERR346600.489	398	104	0.0000	1.1102e-16
ERR346600.490	410	92	0.1413	1.1102e-16
ERR346600.487	392	110	0.0455	1.1102e-16
ERR346600.491	401	101	0.0099	1.1102e-16
ERR346600.488	401	101	0.0099	1.1102e-16
ERR346600.492	398	104	0.0096	1.1102e-16
ERR346600.494	386	116	0.0000	1.1102e-16
ERR346600.493	398	104	0.0288	1.1102e-16
ERR346600.496	395	107	0.0000	1.1102e-16
ERR346600.497	395	107	0.0093	1.1102e-16
ERR346600.495	386	116	0.1724	1.1102e-16
ERR346600.500	404	98	0.0204	1.1102e-16
ERR346600.499	398	104	0.2019	1.1102e-16
ERR346600.498	401	101	0.0396	1.1102e-16
ERR346600.502	395	107	0.0000	1.1102e-16
ERR346600.503	398	104	0.0000	1.1102e-16
ERR346600.501	413	89	0.0112	1.1102e-16
ERR346600.505	392	110	0.0000	1.1102e-16
ERR346600.506	388	114	0.0000	1.1102e-16
ERR346600.507	395	107	0.0093	1.1102e-16
ERR346600.508	400	102	0.0000	1.1102e-16
ERR346600.504	394	108	0.0000	1.1102e-16
ERR346600.509	407	95	0.0105	1.1102e-16
ERR346600.511	389	113	0.0265	1.1102e-16
ERR346600.514	395	107	0.0000	1.1102e-16
ERR346600.510	398	104	0.0096	1.1102e-16
ERR346600.513	389	113	0.0000	1.1102e-16
ERR346600.512	398	104	0.0673	1.1102e-16
ERR346600.515	398	104	0.0096	1.1102e-16
ERR346600.517	398	104	0.0096	1.1102e-16
ERR346600.516	395	107	0.0093	1.1102e-16
ERR346600.519	395	107	0.0187	1.1102e-16
ERR346600.520	398	104	0.0000	1.1102e-16
ERR346600.518	410	92	0.5870	3.1949e-04
ERR346600.522	398	104	0.0096	1.1102e-16
ERR346600.521	398	104	0.0769	1.1102e-16
ERR346600.523	404	98	0.0918	1.1102e-16
ERR346600.525	404	98	0.0306	1.1102e-16
ERR346600.524	410	92	0.0109	1.1102e-16
ERR346600.527	392	110	0.0000	1.1102e-16
ERR346600.528	407	95	0.0211	1.1102e-16
ERR346600.526	389	113	0.0708	1.1102e-16
ERR346600.531	392	110	0.0455	1.1102e-16
ERR346600.529	395	107	0.1495	1.1102e-16
ERR346600.530	404	98	0.0000	1.1102e-16
ERR346600.532	401	101	0.0990	1.1102e-16
ERR346600.536	404	98	0.0204	1.1102e-16
ERR346600.533	401	101	0.0000	1.1102e-16
ERR346600.535	392	110	0.0273	1.1102e-16
ERR346600.537	395	107	0.0187	1.1102e-16
